COUNTRY,COMPANY,MODEL,USP,DISPLAY,CAMERA,MEMORY,BATTERY,THICKNESS,PROCESSOR,EXTRAS/ LINKS
INDIA,ZEN,airtel 4g,NA,NA,NA,NA,NA,NA,NA,http://www.zenmobile.in/product/airtel-4g/
INDIA,ZEN,M72 Smart,Experience all your favorite movies & show on 10.16cm (4) Display,4.0 ,Yes VGA,1GB 8GB,2300 mAH,NA,1.3 GHz Quad Core,http://www.zenmobile.in/product/m72smart/
INDIA,ZEN,Admire Swadesh +,Experience Sharpness12.7cm (5) FWVGA Screen, FWVGA,Yes 2MP,1GB 8GB,2000mAh,NA,sprd 6832,http://www.zenmobile.in/product/swadesh-plus/
INDIA,ZEN,Admire Glory,You can use this image as it is to create thisCapture all your moments without a hassle,4.0 WVGA (800x480),Yes 2.0 MP,512 MB 4 GB,1750mAh,NA,Spredtrum 9832,http://www.zenmobile.in/product/admire-glory/
INDIA,ZEN,Admire Neo,Size Does Matter11.43cm (4.5) screen, FWVGA,Yes 2MP,512 MB 8 GB,2000 mAh,NA,sprd 6832,http://www.zenmobile.in/product/admire-neo/
INDIA,ZEN,Admire Buzz,Stay connected Alwayswith 4G VoLTE support,"5.0"" FWVGA (854x480)",yes 2.0 MP,768MB 8 GB,2000mAh,NA,Spredtrum 9832,http://www.zenmobile.in/product/admire-buzz/
INDIA,ZEN,Admire Thrill+,Textured EleganceTextured back-panel for the perfect grip,11.43cms (4.5) FWVGA,yes 2MP,1GB 8GB,NA,NA,sprd 6832,http://www.zenmobile.in/product/admire-thrill-plus/
INDIA,ZEN,Admire Joy,For the Joy of Selfies 5MP AF camera with flash,12.7cms (5) ,yes 2 MP,NA,2000 mAh,NA,1.3 GHZ Quad core,http://www.zenmobile.in/product/admire-joy/
INDIA,ZEN,Admire Unity,Unlimited speed to connect to your world with fastest 4G connectivity4G Network Support, FWVGA Display screen,Yes 2 MP,1 GB RAM 8 GB Internal Memory,2300 mAh,NA,1.3 GHZ Quad core,http://www.zenmobile.in/product/admire-unity/
INDIA,ZEN,Admire Thrill,Stunning picture quality11.43cm (4.5) FWVGA Screen,11.43cm (4.5) FWVGA,Yes 2MP,1GB 8GB,1750mAh,NA,sprd 6832,http://www.zenmobile.in/product/admire-thrill/
